"","SiteSubsitePlot","LAT","LONG","ID","WarmQSlope","PrecSlope","MinTempSlope","tmin_clim","warmq_clim","prec_clim"
"1","ALEXFIORD:CASSIOPE_COVER:ALL",78.87448,-75.78341,1,0.0698198198198201,0.696848030018759,0.00985660827768832,-16.5771367521367,2.68796296296299,186.1095
"2","BILLEFJORDEN:AWS:2",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"3","BILLEFJORDEN:AWS:4",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"4","BILLEFJORDEN:AWS:7",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"5","BILLEFJORDEN:AWS:11",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"6","BILLEFJORDEN:AWS:13",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"7","BILLEFJORDEN:AWS:19",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"8","BILLEFJORDEN:AWS:20",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"9","BILLEFJORDEN:AWS:25",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"10","BILLEFJORDEN:AWS:26",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"11","BILLEFJORDEN:AWS:30",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"12","BILLEFJORDEN:AWS:32",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"13","BILLEFJORDEN:AWS:33",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"14","BILLEFJORDEN:AWS:34",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"15","BILLEFJORDEN:AWS:37",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"16","BILLEFJORDEN:AWS:42",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"17","BILLEFJORDEN:AWS:44",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"18","BILLEFJORDEN:AWS:47",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"19","BILLEFJORDEN:AWS:50",78.71061,16.45535,2,0.030433290433291,4.67228236397748,0.123599591922322,-10.9566239316239,3.29259259259262,507.85625
"20","PYRAMIDEN:PYR:3",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"21","PYRAMIDEN:PYR:5",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"22","PYRAMIDEN:PYR:16",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"23","PYRAMIDEN:PYR:18",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"24","PYRAMIDEN:PYR:22",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"25","PYRAMIDEN:PYR:27",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"26","PYRAMIDEN:PYR:30",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"27","PYRAMIDEN:PYR:31",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"28","PYRAMIDEN:PYR:35",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"29","PYRAMIDEN:PYR:37",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"30","PYRAMIDEN:PYR:41",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"31","PYRAMIDEN:PYR:45",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"32","PYRAMIDEN:PYR:47",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"33","PYRAMIDEN:PYR:48",78.64935,16.19464,3,0.0338910338910346,3.38130112570356,0.12427836381819,-10.2784188034188,4.24259259259262,417.66475
"34","FURI:FURI4:FURI4_T1",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
"35","FURI:FURI4:FURI4_T10",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
"36","FURI:FURI4:FURI4_T11",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
"37","FURI:FURI4:FURI4_T12",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
"38","FURI:FURI4:FURI4_T13",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
"39","FURI:FURI4:FURI4_T14",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
"40","FURI:FURI4:FURI4_T15",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
"41","FURI:FURI4:FURI4_T16",61.63542,12.6375,4,0.0223809523809526,1.341212945591,0.03966265040808,-3.29914529914528,10.3657407407408,1276.93975
