,Arctic herb subzone,northern Arctic dwarf shrub subzone,middle Arctic dwarf shrub subzone,southern Arctic dwarf shrub subzone,Arctic shrub subzone ,Adjacent non-Arctic (Boreal or Boreal-alpine) area,Species occurring in the Arctic,Arctic endemic species (A-E),Borderline species (bEN),Species occuring as stabilized introduction only,Species occuring as native and non native stabilized,Species occurring as non native stabilized and casual,Sspecies occurring as native and non native stabilized and casual,Species occurring both as native and casual,PAF code number of genus
3309003 C. mollissima,–,–,–,–,R,S,1,,,,,,,,
3309004 C. rostrata,–,–,–,–,S,F,1,,,,,,,,
3309005 C. utriculata,–,–,–,–,R,F,1,,,,,,,,
3309006 C. rhynchophysa,–,–,–,–,R,F,1,,,,,,,,
3309007 C. rotundata,–,–,–,R,F,F,1,,,,,,,,
3309008 C. miliaris,–,–,–,S,F,F,1,,,,,,,,
3309009 C. vesicaria,–,–,–,–,R,F,1,,,,,,,,
3309010 C. membranacea,–,?,F,F,F,F,1,,,,,,,,
3309011a C. saxatilis ssp. saxatilis,–,–,–,S,F,F,1,,,,,,,,
3309011b C. saxatilis ssp. laxa,–,–,S,F,F,F,1,,,,,,,,
3309012 C. oligosperma,–,–,–,–,R,S,1,,,,,,,,
"3309013b C. vaginata ssp. ""nova""",–,–,–,F,F,F,1,,,,,,,,
3309014 C. panicea,–,–,–,–,R,F,1,,,,,,,,
3309015 C. livida,–,–,–,–,R,F,1,,,,,,,,
3309016 C. laxa,–,–,–,–,R,F,1,,,,,,,,
3309017 C. bicolor,–,–,–,R,S,S,1,,,,,,,,
3309018 C. aurea,–,–,–,–,R,F,1,,,,,,,,
3309019 C. garberi,–,–,–,–,R,F,1,,,,,,,,
3309020 C. sabynensis,–,–,–,–,R,F,1,,,,,,,,
3309021 C. trautvetteriana,–,–,–,–,R,F,1,,,,,,,,
3309022 C. flava,–,–,–,–,R,F,1,,,,,,,,
3309023 C. demissa,–,–,–,–,R,S,1,,,,,,,,
3309024b C. viridula var. pulchella,–,–,–,–,R,F,1,,,,,,,,
3309025 C. concinna,–,–,–,–,S,F,1,,,,,,,,
3309026a C. pediformis ssp. pediformis,–,–,–,–,b,F,1,,1,,,,,,
3309026b C. pediformis ssp. reventa,–,–,–,–,R,S,1,,,,,,,,
3309027 C. globularis,–,–,–,–,S,F,1,,,,,,,,
3309028 C. vanheurckii (ssp. vanheurckii),–,–,–,–,R,S,1,,,,,,,,
3309029 C. deflexa (var. deflexa),–,–,–,–,S,F,1,,,,,,,,
3309030 C. umbellata,–,–,–,–,R,R,1,,,,,,,,
3309031 C. pilulifera,–,–,–,–,R,S,1,,,,,,,,
3309032 C. ericetorum,–,–,–,–,b,S,1,,1,,,,,,
3309033 C. melanocarpa,–,–,?,S,F,F,1,,,,,,,,
3309034 C. alba,–,–,–,–,R,F,1,,,,,,,,
3309035 C. eburnea,–,–,–,–,R,F,1,,,,,,,,
3309036a C. supina ssp. spaniocarpa,–,–,R,S,S,S,1,,,,,,,,
3309037 C. glacialis,–,–,S,F,F,S,1,,,,,,,,
3309038 C. macrogyna,–,–,–,?,F,F,1,,,,,,,,
3309039a C. petricosa var. petricosa,–,–,–,R,R,F,1,,,,,,,,
3309039b C. petricosa var. misandroides,–,–,–,–,b,S,1,,1,,,,,,
3309040a C. fuliginosa ssp. misandra,R,S,F,F,F,S,1,,,,,,,,
3309041 C. atrofusca,–,–,R,F,F,F,1,,,,,,,,
3309042 C. williamsii,–,–,–,R,S,S,1,,,,,,,,
3309043 C. ledebouriana (ssp. ledebouriana),–,–,–,?,S,F,1,,,,,,,,
3309044 C. krausei,–,–,S,F,F,F,1,,,,,,,,
3309045a C. capillaris ssp. capillaris,–,–,–,S,F,F,1,,,,,,,,
3309045b C. capillaris ssp. chlorostachys,–,–,–,?,S,F,1,,,,,,,,
3309045c C. capillaris ssp. fuscidula,–,–,R,F,F,F,1,,,,,,,,
3309046 C. paupercula,–,–,–,–,S,F,1,,,,,,,,
3309047 C. limosa,–,–,–,–,S,F,1,,,,,,,,
3309048 C. rariflora,–,–,–,S,F,F,1,,,,,,,,
3309049 C. pluriflora,–,–,–,–,R,F,1,,,,,,,,
3309050 C. macrochaeta,–,–,–,–,R,F,1,,,,,,,,
3309051 C. riishirensis,–,–,–,–,R,F,1,,,,,,,,
3309052 C. podocarpa,–,–,–,R,F,F,1,,,,,,,,
3309054a C. microchaeta ssp. microchaeta,–,–,–,–,R,F,1,,,,,,,,
3309054b C. microchaeta ssp. nesophila,–,–,–,–,S,F,1,,,,,,,,
3309055 C. gmelinii,–,–,–,–,R,F,1,,,,,,,,
3309056 C. buxbaumii,–,–,–,–,R,F,1,,,,,,,,
3309057 C. adelostoma,–,–,–,–,R,F,1,,,,,,,,
3309058 C. atrata,–,–,–,R,S,F,1,,,,,,,,
3309059 C. atrosquamea,–,–,–,–,b,F,1,,1,,,,,,
3309060 C. albonigra,–,–,–,–,R,S,1,,,,,,,,
3309061 C. aterrima (ssp. aterrima),–,–,–,–,R,F,1,,,,,,,,
3309062a C. sabulosa ssp. leiophylla,–,–,–,–,R,S,1,,,,,,,,
3309063a C. stylosa var. stylosa,–,–,–,R,S,F,1,,,,,,,,
3309063b C. stylosa var. nigritella,–,–,–,–,S,F,1,,,,,,,,
3309064 C. meyeriana,–,–,–,–,b,S,1,,1,,,,,,
3309065 C. holostoma,–,–,–,S,S,S,1,,,,,,,,
3309066 C. media,–,–,–,–,S,F,1,,,,,,,,
3309067a C. norvegica ssp. norvegica,–,–,–,R,F,F,1,,,,,,,,
3309067b C. norvegica ssp. inserrulata,–,–,–,R,F,F,1,,,,,,,,
3309067c C. norvegica ssp. conicorostrata,–,–,–,–,R,–,1,1,,,,,,,
3309068 C. paleacea,–,–,–,–,R,S,1,,,,,,,,
3309069a C. lyngbyei ssp. lyngbyei,–,–,–,–,R,F,1,,,,,,,,
3309069b C. lyngbyei ssp. cryptocarpa,–,–,–,–,S,F,1,,,,,,,,
3309070 C. salina,–,–,–,–,S,F,1,,,,,,,,
3309071 C. ramenskii,–,–,–,R,S,F,1,,,,,,,,
3309072 C. subspathacea,–,–,S,F,F,F,1,,,,,,,,
3309073 C. recta,–,–,–,–,R,F,1,,,,,,,,
3309074 C. halophila auct.,–,–,–,–,R,F,1,,,,,,,,
3309075 C. acuta,–,–,–,–,R,F,1,,,,,,,,
3309076a C. nigra ssp. nigra,–,–,–,–,S,F,1,,,,,,,,
3309076b C. nigra ssp. juncella,–,–,–,–,F,F,1,,,,,,,,
3309077 C. appendiculata,–,–,–,–,R,F,1,,,,,,,,
3309078a C. aquatilis ssp. aquatilis,–,–,–,R,F,F,1,,,,,,,,
3309078b C. aquatilis var. dives,–,–,–,–,R,S,1,,,,,,,,
3309078c C. aquatilis ssp. stans,–,R,F,F,F,S,1,,,,,,,,
3309079 C. schmidtii,–,–,–,–,b,F,1,,1,,,,,,
3309080 C. minuta,–,–,–,–,R,F,1,,,,,,,,
3309081 C. cespitosa,–,–,–,–,R,F,1,,,,,,,,
3309082a C. bigelowii ssp. bigelowii,–,–,–,S,F,F,1,,,,,,,,
3309082b C. bigelowii ssp. rigida,–,–,R,F,F,F,1,,,,,,,,
3309082c C. bigelowii ssp. lugens,–,–,R,F,F,F,1,,,,,,,,
3309083 C. eleusinoides,–,–,–,–,R,S,1,,,,,,,,
3309084a C. lenticularis var. lenticularis,–,–,–,–,R,F,1,,,,,,,,
3309084b C. lenticularis var. lipocarpa,–,–,–,–,R,S,1,,,,,,,,
3309085 C. rufina,–,–,–,R,S,S,1,,,,,,,,
3309086 C. diandra,–,–,–,–,R,S,1,,,,,,,,
3309087 C. pseudocuraica,–,–,–,–,b,S,1,,1,,,,,,
3309088 C. praecox,–,–,–,–,b,S,1,,1,,,,,,
3309089 C. pallida,–,–,–,–,R,F,1,,,,,,,,
3309090 C. chordorrhiza,–,–,–,R,F,F,1,,,,,,,,
3309091 C. duriuscula,–,–,–,–,S,F,1,,,,,,,,
3309092 C. maritima,–,R,S,F,F,F,1,,,,,,,,
3309093 C. enervis (ssp. enervis),–,–,–,–,R,F,1,,,,,,,,
3309094 C. disperma,–,–,–,–,R,F,1,,,,,,,,
3309095 C. macloviana,–,–,–,S,S,S,1,,,,,,,,
3309096 C. pachystachya,–,–,–,–,b,F,1,,1,,,,,,
3309097 C. praticola,–,–,–,–,R,S,1,,,,,,,,
3309098 C. foenea,–,–,–,–,R,F,1,,,,,,,,
3309100 C. interior,–,–,–,–,R,F,1,,,,,,,,
3309101 C. echinata (ssp. echinata),–,–,–,–,R,F,1,,,,,,,,
3309102 C. mackenziei,–,–,–,–,S,F,1,,,,,,,,
3309103 C. canescens (ssp. canescens),–,–,–,–,S,F,1,,,,,,,,
3309104 C. lapponica,–,–,–,–,S,F,1,,,,,,,,
3309105 C. bonanzensis,–,–,–,–,R,S,1,,,,,,,,
3309106 C. arcta,–,–,–,–,R,S,1,,,,,,,,
3309107 C. kreczetoviczii,–,–,–,–,R,S,1,,,,,,,,
3309108a C. brunnescens ssp. brunnescens,–,–,–,S,F,F,1,,,,,,,,
3309108b C. brunnescens ssp. vitilis,–,–,–,–,R,F,1,,,,,,,,
3309108c C. brunnescens ssp. alaskana,–,–,–,–,R,S,1,,,,,,,,
3309109 C. trisperma,–,–,–,–,R,S,1,,,,,,,,
3309110 C. loliacea,–,–,–,–,R,F,1,,,,,,,,
3309111 C. tenuiflora,–,–,–,–,R,F,1,,,,,,,,
3309112 C. heleonastes,–,–,–,–,R,F,1,,,,,,,,
3309113a C. marina ssp. marina,–,–,S,F,F,R,1,,,,,,,,
3309113b C. marina ssp. pseudolagopina,–,–,S,F,F,R,1,,,,,,,,
3309114 C. glareosa (ssp. glareosa),–,–,R,F,F,F,1,,,,,,,,
3309115 C. lachenalii,–,–,S,F,F,F,1,,,,,,,,
3309116 C. ursina,–,R,F,F,S,–,1,1,,,,,,,
3309117 C. dioica,–,–,–,–,S,F,1,,,,,,,,
3309118 C. gynocrates,–,–,–,S,F,F,1,,,,,,,,
3309119a C. parallela ssp. parallela,–,–,S,F,F,S,1,,,,,,,,
3309119b C. parallela ssp. redowskiana,–,–,–,R,F,S,1,,,,,,,,
3309120 C. microglochin,–,–,–,R,S,F,1,,,,,,,,
3309121 C. pauciflora,–,–,–,–,R,F,1,,,,,,,,
3309122 C. obtusata,–,–,–,?,S,F,1,,,,,,,,
3309123 C. rupestris,–,R,F,F,F,F,1,,,,,,,,
3309124 C. micropoda,–,–,–,–,S,F,1,,,,,,,,
3309125 C. leptalea (ssp. leptalea),–,–,–,–,R,F,1,,,,,,,,
3309126 C. filifolia,–,–,–,–,R,F,1,,,,,,,,
3309127 C. anthoxanthea,–,–,–,–,R,S,1,,,,,,,,
3309128a C. scirpoidea ssp. scirpoidea,–,–,R,S,F,F,1,,,,,,,,
3309128b C. scirpoidea ssp. stenochlaena,–,–,–,?,F,F,1,,,,,,,,
3309129 C. pulicaris,–,–,–,–,R,R,1,,,,,,,,
3309130 C. capitata,–,–,–,–,S,F,1,,,,,,,,
3309131 C. arctogena,–,–,–,S,S,S,1,,,,,,,,
3309132a C. nardina ssp. nardina,–,–,–,–,R,S,1,,,,,,,,
3309132b C. nardina ssp. hepburnii,–,R,F,F,F,S,1,,,,,,,,
34 POACEAE,,,,,,,,,,,,,,,
3401 Elymus,,,,,,,,,,,,,,,3401
340101 E. mutabilis,–,–,–,–,S,F,1,,,,,,,,
340102a E. trachycaulus ssp. trachycaulus,–,–,–,–,R,F,1,,,,,,,,
340102b E. trachycaulus ssp. novae–angliae,–,–,–,–,R,F,1,,,,,,,,
340102c E. trachycaulus ssp. subsecundus,–,–,–,–,R,F,1,,,,,,,,
340102d E. trachycaulus ssp. virescens,–,–,?,S,F,F,1,,,,,,,,
340103 E. violaceus,–,–,?,S,F,F,1,,,,,,,,
340104a E. alaskanus ssp. alaskanus,–,–,–,R,F,F,1,,,,,,,,
340104b E. alaskanus ssp. borealis,–,–,–,R,F,F,1,,,,,,,,
340104c E. alaskanus ssp. hyperarcticus,–,R,F,F,F,F,1,,,,,,,,
340105 E. macrourus,–,–,?,R,F,F,1,,,,,,,,
340106 E. jacutensis,–,–,–,–,R,F,1,,,,,,,,
340107a E. fibrosus ssp. fibrosus,–,–,–,–,R,F,1,,,,,,,,
340107b E. fibrosus ssp. subfibrosus,–,–,–,–,R,F,1,,,,,,,,
340108 E. caninus,–,–,–,–,R,F,1,,,,,,,,
340109 E. confusus,–,–,–,–,R,F,1,,,,,,,,
3402 Pseudoroegneria,,,,,,,,,,,,,,,3402
340201 P. spicata (ssp. spicata),–,–,–,–,R,S,1,,,,,,,,
340202a P. strigosa ssp. jacutorum,–,–,–,–,R,S,1,,,,,,,,
3403 Elytrigia,,,,,,,,,,,,,,,3403
340301 E. repens (ssp. repens),–,–,–,–,*,F,1,,,1,,,,,
3404 Hystrix,,,,,,,,,,,,,,,3404
340401 H. sibirica,–,–,–,–,R,S,1,,,,,,,,
3405 Leymus,,,,,,,,,,,,,,,3405
340501a L. mollis ssp. mollis,–,–,–,R,F,F,1,,,,,,,,
340501b L. mollis ssp. villosissimus,–,–,?,S,F,F,1,,,,,,,,
340502 L. interior,–,–,–,R,F,F,1,,,,,,,,
340503 L. arenarius,–,–,–,?,F,F,1,,,,,,,,
340504a L. innovatus ssp. innovatus,–,–,–,–,S,F,1,,,,,,,,
340504b L. innovatus ssp. velutinus,–,–,–,–,R,S,1,,,,,,,,
3406 Hordeum,,,,,,,,,,,,,,,3406
340601 H. jubatum,–,–,–,–,R,F,1,,,,,,1,,
340602 H. brachyantherum,–,–,–,–,*,S,1,,,1,,,,,
340603 H. brevisubulatum,–,–,–,–,*,S,1,,,1,,,,,
3407 Bromopsis,,,,,,,,,,,,,,,3407
340701 B. pumpelliana,–,–,R,S,F,F,1,,,,,,,,
340702 B. inermis,–,–,–,–,*,S,1,,,,,1,,,
340703 B. ciliata,–,–,–,–,R,F,1,,,,,,,,
3408 Anthoxanthum,,,,,,,,,,,,,,,3408
340801 A. nipponicum,–,–,–,R,F,F,1,,,,,,,,
340802 A. odoratum,–,–,–,–,*,S,1,,,1,,,,,
3409 Hierochloe,,,,,,,,,,,,,,,3409
340901 H. alpina,–,S,F,F,F,F,1,,,,,,,,
340902 H. orthantha,–,–,–,–,F,F,1,,,,,,,,
340903a H. odorata ssp. odorata,–,–,–,–,R,F,1,,,,,,,,
340903b H. odorata ssp. arctica,–,–,–,R,S,F,1,,,,,,,,
340903c H. odorata ssp. kolymensis,–,–,–,–,R,F,1,,,,,,,,
340904a H. glabra ssp. sibirica,–,–,–,–,R,S,1,,,,,,,,
340905 H. pauciflora,–,R,F,F,F,F,1,,,,,,,,
3410 Avenula,,,,,,,,,,,,,,,3410
341001 A. pubescens,–,–,–,–,b,F,1,,1,,,,,,
341002 A. dahurica,–,–,–,–,R,F,1,,,,,,,,
3411 Helictotrichon,,,,,,,,,,,,,,,3411
341101 H. krylovii,–,–,–,–,R,S,1,,,,,,,,
3412 Trisetum,,,,,,,,,,,,,,,3412
341201a T. sibiricum ssp. sibiricum,–,–,–,–,S,F,1,,,,,,,,
341201b T. sibiricum ssp. litorale,–,–,–,R,F,F,1,,,,,,,,
341202 T. subalpestre,–,–,–,?,R,R,1,,,,,,,,
341203a T. spicatum ssp. spicatum,R,F,F,F,F,F,1,,,,,,,,
341203b T. spicatum ssp. molle,–,–,?,S,F,F,1,,,,,,,,
3413 Koeleria,,,,,,,,,,,,,,,3413
341301a K. pyramidata ssp. seminuda,–,–,–,–,R,F,1,,,,,,,,
341302a K. glauca ssp. pohleana,–,–,?,S,F,F,1,,,,,,,,
341303 K. asiatica,–,–,–,R,F,F,1,,,,,,,,
3414 Sphenopholis,,,,,,,,,,,,,,,3414
341401 S. intermedia,–,–,–,–,b,F,1,,1,,,,,,
3415 Deschampsia,,,,,,,,,,,,,,,3415
341501 D. cespitosa,–,–,**,*,F,F,1,,,,1,,,,
341502 D. alpina,R,F,F,F,F,S,1,,,,,,,,
341503 D. brevifolia,F,F,F,S,S,R,1,,,,,,,,
341504 D. anadyrensis,–,–,S,F,F,F,1,,,,,,,,
341505a D. sukatschewii ssp. sukatschewii,–,–,–,R,S,F,1,,,,,,,,
341505b D. sukatschewii ssp. orientalis,–,–,–,R,F,F,1,,,,,,,,
341505c D. sukatschewii ssp. borealis,–,?,S,F,F,F,1,,,,,,,,
341506 D. obensis,–,–,–,R,F,F,1,,,,,,,,
341507 D. beringensis,–,–,–,–,R,F,1,,,,1,,,,
3416 Avenella,,,,,,,,,,,,,,,3416
341601 A. flexuosa,–,–,–,R,F,F,1,,,,,,,,
3417 Vahlodea,,,,,,,,,,,,,,,3417
341701 V. atropurpurea,–,–,–,–,S,F,1,,,,,,,,
341702a V. latifolia ssp. paramushirensis,–,–,–,–,R,S,1,,,,,,,,
3418 Milium,,,,,,,,,,,,,,,3418
341801 M. effusum,–,–,–,–,S,F,1,,,,,,,,
3419 Calamagrostis,,,,,,,,,,,,,,,3419
341901 C. sesquiflora,–,–,–,–,R,S,1,,,,,,,,
341902a C. purpurascens ssp. purpurascens,–,R,F,F,F,F,1,,,,,,,,
341902b C. purpurascens ssp. laricina,–,–,–,?,S,S,1,,,,,,,,
341902c C. purpurascens ssp. arctica,–,–,–,?,S,F,1,,,,,,,,
341903a C. lapponica ssp. lapponica,–,–,?,S,F,F,1,,,,,,,,
341903b C. lapponica ssp. sibirica,–,–,–,R,F,F,1,,,,,,,,
341904a C. neglecta ssp. neglecta,–,–,?,S,F,F,1,,,,,,,,
341904b C. neglecta ssp. groenlandica,–,?,S,F,F,F,1,,,,,,,,
341905 C. holmii,–,–,R,F,F,F,1,,,,,,,,
341906 C. inexpansa,–,–,–,R,R,F,1,,,,,,,,
341907 C. deschampsioides,–,–,?,S,F,F,1,,,,,,,,
341908 C. phragmitoides,–,–,–,?,F,F,1,,,,,,,,
341909 C. purpurea,–,–,–,–,R,F,1,,,,,,,,
341910 C. tenuis,–,–,–,?,S,F,1,,,,,,,,
341911a C. canadensis ssp. canadensis,–,–,–,–,S,F,1,,,,,,,,
341911b C. canadensis ssp. langsdorfii,–,–,?,S,F,F,1,,,,,,,,
341912 C. epigeios,–,–,–,–,*,S,1,,,1,,,,,
3420 Agrostis,,,,,,,,,,,,,,,3420
342001 A. stolonifera,–,–,–,?,S,F,1,,,,1,,,,
342002 A. gigantea,–,–,–,–,R,F,1,,,,,,,,
342003 A. capillaris,–,–,–,–,S,F,1,,,,1,,,,
342004 A. exarata,–,–,–,–,R,S,1,,,,,,,,
342005 A. alaskana,–,–,–,–,b,S,1,,1,,,,,,
342006 A. canina,–,–,–,–,R,F,1,,,,1,,,,
342007 A. vinealis,–,–,R,S,F,F,1,,,,,,,,
342008 A. kudoi,–,–,?,S,F,F,1,,,,,,,,
342009 A. mertensii,–,–,R,F,F,F,1,,,,,,,,
342010 A. anadyrensis,–,–,–,–,R,F,1,,,,,,,,
342011 A. clavata,–,–,–,–,*,S,1,,,1,,,,,
342012 A. scabra,–,–,–,–,R,F,1,,,,,,,,
3421 Festuca,,,,,,,,,,,,,,,3421
342101 F. altaica,–,–,–,R,F,F,1,,,,,,,,
342102a F. rubra ssp. rubra,–,–,R,S,F,F,1,,,,,,,,
342102b F. rubra ssp. richardsonii,–,S,F,F,F,S,1,,,,,,,,
342103 F. baffinensis,–,S,F,F,F,S,1,,,,,,,,
342104 F. brevissima,–,–,–,R,F,F,1,,,,,,,,
342105 F. hyperborea,S,F,F,S,R,–,1,1,,,,,,,
342106 F. edlundiae,R,F,F,S,R,–,1,1,,,,,,,
342107 F. brachyphylla,R,F,F,F,F,F,1,,,,,,,,
342108 F. groenlandica,–,–,R,S,S,–,1,1,,,,,,,
342109 F. vivipara,–,–,?,S,F,F,1,,,,,,,,
342110 F. frederikseniae,–,R,F,F,F,R,1,,,,,,,,
342111 F. viviparoidea,–,R,F,F,F,F,1,,,,,,,,
342112 F. lenensis,–,–,–,R,F,F,1,,,,,,,,
342113 F. auriculata,–,R,S,F,F,F,1,,,,,,,,
342114 F. saximontana,–,–,–,–,R,F,1,,,,,,,,
342115 F. kolymensis,–,–,–,–,R,S,1,,,,,,,,
342116 F. ovina (ssp. ovina),–,–,–,?,F,F,1,,,,,,,,
3422 Schedonorus,,,,,,,,,,,,,,,3422
342201 S. pratensis,–,–,–,–,*,*,1,,,,,1,,,
3423 Lolium,,,,,,,,,,,,,,,3423
342301 L. perenne,–,–,–,–,*,*,1,,,,,1,,,
3424 Arctopoa,,,,,,,,,,,,,,,3424
342401 A. eminens,–,–,–,R,F,F,1,,,,,,,,
342402 A. trautvetteri,–,–,–,–,R,F,1,,,,,,,,
342403 A. subfastigiata,–,–,–,–,*,S,1,,,1,,,,,
3425 Poa,,,,,,,,,,,,,,,3425
342501a P. alpina var. alpina,–,R,F,F,F,F,1,,,,,,,,
342501b P. alpina var. vivipara,R,F,F,F,S,R,1,,,,,,,,
342502 P. x jemtlandica,–,–,–,–,R,S,1,,,,,,,,
342503a P. arctica ssp. arctica,S,F,F,F,F,S,1,,,,,,,,
342503b P. arctica ssp. caespitans,S,F,F,S,R,R,1,,,,,,,,
342503c P. arctica ssp. lanata,–,–,?,S,F,F,1,,,,,,,,
342504 P. macrocalyx,–,–,–,–,R,F,1,,,,,,,,
342505a P. pratensis ssp. pratensis,–,–,–,*,S,F,1,,,,,,,,
342505b P. pratensis ssp. angustifolia,–,–,–,–,*,R,1,,,1,,,,,
342505c P. pratensis ssp. irrigata,–,–,–,*,F,F,1,,,,1,,,,
342505d P. pratensis ssp. alpigena,R,F,F,F,F,F,1,,,,,,,,
342505e P. pratensis ssp. colpodea,R,F,F,S,R,–,1,1,,,,,,,
342506 P. sublanata,–,–,–,?,R,F,1,,,,,,,,
342507 P. porsildii,–,–,–,–,R,S,1,,,,,,,,
342508 P. sibirica,–,–,–,R,S,F,1,,,,,,,,
342509 P. trivialis (ssp. trivialis),–,–,**,–,R,F,1,,,,,,1,,
342510 P. nemoralis,–,–,–,–,S,F,1,,,,1,,,,
342511 P. palustris,–,–,**,*,S,F,1,,,,,,1,,
342512 P. ochotensis,–,–,–,–,R,F,1,,,,,,,,
342513 P. botryoides,–,–,–,?,R,F,1,,,,,,,,
342514 P. arctostepporum,–,–,?,R,R,R,1,,,,,,,,
342515 P. glauca,–,S,F,F,F,F,1,,,,,,,,
342516 P. compressa,–,–,–,–,*,R,1,,,,,1,,,
342517a P. hartzii ssp. hartzii,–,R,F,F,S,R,1,,,,,,,,
342517b P. hartzii ssp. alaskana,–,–,–,–,R,–,1,1,,,,,,,
342517c P. hartzii ssp. vrangelica,–,–,?,R,R,–,1,1,,,,,,,
342518 P. ammophila,–,–,–,–,S,–,1,1,,,,,,,
342519a P. abbreviata ssp. abbreviata,F,F,F,S,R,R,1,,,,,,,,
342519b P. abbreviata ssp. pattersonii,–,–,–,–,R,F,1,,,,,,,,
342520 P. pseudoabbreviata,–,–,R,S,S,S,1,,,,,,,,
342521a P. laxa ssp. flexuosa,–,–,–,–,R,F,1,,,,,,,,
342522 P. sp. (aff. laxa),–,–,–,R,R,R,1,,,,,,,,
342523 P. leptocoma,–,–,–,R,R,S,1,,,,,,,,
342524 P. paucispicula,–,–,?,S,F,F,1,,,,,,,,
342525 P. supina,–,–,–,–,*,S,1,,,1,,,,,
342526 P. annua,–,–,**,R,S,F,1,,,,,,1,,
3426 Hyalopoa,,,,,,,,,,,,,,,3426
342601 H. lanatiflora,–,–,–,–,R,F,1,,,,,,,,
3427 Arctophila,,,,,,,,,,,,,,,3427
342701 A. fulva,–,S,F,F,F,F,1,,,,,,,,
3428 xArctodupontia,,,,,,,,,,,,,,,3428
342801 xA. scleroclada,–,–,R,R,R,–,1,1,,,,,,,
3429 Dupontia,,,,,,,,,,,,,,,3429
342901 D. fisheri,R,F,F,F,F,S,1,,,,,,,,
3430 xDuarctopoa,,,,,,,,,,,,,,,3430
343001 xD. labradorica,–,–,–,R,R,S,1,,,,,,,,
3431 Puccinellia,,,,,,,,,,,,,,,3431
343102a P. phryganodes ssp. phryganodes,–,–,?,S,F,F,1,,,,,,,,
343102b P. phryganodes ssp. neoarctica,–,S,F,F,F,S,1,,,,,,,,
343102c P. phryganodes ssp. sibirica,–,?,S,F,F,S,1,,,,,,,,
343102d P. phryganodes ssp. vilfoidea,–,S,F,S,–,–,1,1,,,,,,,
343103 P. maritima,–,–,–,–,R,F,1,,,,,,,,
343104 P. nuttalliana,–,–,R,S,S,F,1,,,,,,,,
343105a P. borealis ssp. borealis,–,–,–,R,F,F,1,,,,,,,,
343105b P. borealis ssp. neglecta,–,–,–,R,F,F,1,,,,,,,,
343106 P. banksiana,–,–,–,R,–,–,1,1,,,,,,,
343107 P. hauptiana,–,–,–,R,S,F,1,,,,1,,,,
343108 P. distans,–,–,–,–,*,S,1,,,1,,,,,
343110 P. nutkaensis,–,–,R,F,F,F,1,,,,,,,,
343111 P. arctica,–,R,R,R,F,S,1,,,,,,,,
343112 P. porsildii,–,–,–,R,R,–,1,1,,,,,,,
343113 P. groenlandica,–,–,?,S,S,–,1,1,,,,,,,
343114 P. andersonii,R,S,S,S,R,–,1,1,,,,,,,
343115 P. vaginata,–,R,F,F,F,R,1,,,,,,,,
343116 P. angustata,S,F,F,S,R,–,1,1,,,,,,,
343117 P. palibinii,–,–,R,S,?,–,1,1,,,,,,,
343118 P. sibirica,–,–,?,S,F,F,1,,,,,,,,
343119 P. lenensis,–,–,–,R,S,S,1,,,,,,,,
343120 P. svalbardensis,–,R,R,–,–,–,1,1,,,,,,,
342721 P. gorodkovii,–,R,R,–,–,–,1,1,,,,,,,
343122 P. pumila,–,–,–,–,R,S,1,,,,,,,,
343123 P. tenella,–,–,?,F,F,F,1,,,,,,,,
343124 P. langeana,–,–,?,F,F,F,1,,,,,,,,
343125 P. bruggemannii,R,F,F,S,F,–,1,1,,,,,,,
343126 P. vahliana,F,F,F,S,R,–,1,1,,,,,,,
343127a P. wrightii ssp. wrightii,–,–,–,R,F,F,1,,,,,,,,
343127b P. wrightii ssp. colpodioides,–,–,R,R,–,–,1,1,,,,,,,
343128 P. beringensis,–,–,–,–,R,–,1,1,,,,,,,
3432 Phippsia,,,,,,,,,,,,,,,3432
343201 P. algida,F,F,F,S,R,R,1,,,,,,,,
343202 P. concinna,F,F,F,S,R,R,1,,,,,,,,
3433 xPucciphippsia,,,,,,,,,,,,,,,3433
343301 xP. vacillans,R,S,S,?,–,–,1,1,,,,,,,
343302 xP. czukczorum,–,–,–,R,R,–,1,1,,,,,,,
3434 Catabrosa,,,,,,,,,,,,,,,3434
343401 C. aquatica,–,–,–,–,S,F,1,,,,,,,,
3435 Dactylis,,,,,,,,,,,,,,,3435
343501 D. glomerata,–,–,–,–,*,S,1,,,1,,,,,
3436 Cinna,,,,,,,,,,,,,,,3436
343601 C. latifolia,–,–,–,–,R,S,1,,,,,,,,
3437 Arctagrostis,,,,,,,,,,,,,,,3437
343701a A. latifolia ssp. latifolia,R,F,F,F,F,S,1,,,,,,,,
343701b A. latifolia ssp. arundinacea,–,–,–,?,F,F,1,,,,,,,,
3438 Beckmannia,,,,,,,,,,,,,,,3438
343801 B. syzigachne,–,–,–,–,R,F,1,,,,,,1,,
343802a B. eruciformis ssp. borealis,–,–,–,–,R,R,1,,,,,,,1,
3439 Phalaroides,,,,,,,,,,,,,,,3439
343901 P. arundinacea,–,–,–,–,R,F,1,,,,1,,,,
3440 Phleum,,,,,,,,,,,,,,,3440
344001 P. alpinum,–,–,–,R,F,F,1,,,,,,,,
344002 P. pratense (ssp. pratense),–,–,**,**,*,*,1,,,,,1,,,
3441 Limnas,,,,,,,,,,,,,,,3441
344101 L. malyschevii,–,–,–,–,R,S,1,,,,,,,,
3442 Alopecurus,,,,,,,,,,,,,,,3442
