"","ID","LAT","LONG","warmq_clim"
"1",1,78.87448,-75.78341,2.68796296296299
"2",2,78.71061,16.45535,3.29259259259262
"3",3,78.64935,16.19464,4.24259259259262
"4",4,61.63542,12.6375,10.3657407407408
"5",5,62.10253,12.34458,9.74259259259262
"6",6,62.11508,12.27236,10.6324074074074
"7",7,67.77306,17.53611,8.89074074074077
"8",8,60.9335,6.41504,9.04074074074076
"9",9,61.0243,8.12343,9.39259259259262
"10",10,60.8231,7.27596,9.14814814814817
"11",11,60.8328,7.17561,9.69537037037039
"12",12,68.20462,18.49582,7.92685185185188
"13",13,68.358087,18.812886,11.4925925925926
"14",14,69.9535,-144.8089944,5.59259259259261
"15",15,69.656,-144.1926883,8.93888888888891
"16",16,69.8501,-144.1083833,6.88333333333336
"17",17,69.9599,-144.0597167,5.1740740740741
"18",18,69.9467,-144.0644667,5.41296296296299
"19",19,70.0803,-143.1433333,3.54722222222225
"20",20,70.083556,-143.141944,3.46018518518521
"21",21,70.084,-143.1358333,3.45000000000002
"22",22,69.7958,-144.809025,7.89074074074076
"23",23,69.7977,-144.8061194,7.87500000000002
"24",24,69.789,-144.81572,7.9777777777778
"25",25,69.7981,-144.83792,7.84629629629632
"26",26,69.8937,-142.8705,5.2240740740741
"27",27,69.9711,-143.90396,5.07685185185187
"28",28,69.971,-143.90482,5.07685185185187
"29",29,69.8307,-143.7787667,7.22870370370373
"30",30,69.8269,-143.7653167,7.21388888888891
"31",31,69.9699,-143.94212,5.06296296296299
"32",32,69.97,-143.9387361,5.06481481481484
"33",33,69.9698,-143.9126,5.07500000000002
"34",34,69.9754,-144.05095,4.96203703703706
"35",35,69.9775,-144.01674,4.96851851851854
"36",36,69.6954,-144.3603167,8.68796296296298
"37",37,69.7059,-144.3684167,8.71666666666669
"38",38,69.7327,-144.3397667,8.52037037037039
"39",39,69.7304,-144.3366167,8.52037037037039
"40",40,64.57,-18.6,7.79259259259262
"41",41,61.56,-135.13,15.2481481481482
"42",42,68.3284,18.8356,10.5203703703704
"43",43,68.3244,18.8417,10.2703703703704
"44",44,68.3145,18.858,9.88888888888891
"45",45,68.3133,18.863,9.81481481481484
"46",46,69.74879,23.98744,10.2842592592593
"47",47,69.75137,23.98674,10.3370370370371
"48",48,69.74737,23.99619,10.2592592592593
"49",49,69.75033,23.99425,10.2833333333334
"50",50,69.27,-53.45,5.08888888888891
"51",51,69.068,20.8199,8.70462962962965
"52",52,68.35572,18.49531,7.44537037037039
"53",53,68.35683,18.49756,7.44537037037039
"54",54,68.3551536,18.4913635,7.44166666666669
"55",55,68.1933,18.5115,8.98796296296299
"56",56,78.19,15.93,4.3203703703704
"57",57,68.35,18.49,7.44166666666669
"58",58,68.35,18.65,7.40370370370373
"59",59,68.62,-149.61,8.75370370370372
"60",60,67.1103,-50.344,9.43796296296299
"61",61,67.11377,-50.337,9.40185185185187
"62",62,74.47427,-20.52895,2.95555555555558
"63",63,68.62,-149.28,7.84629629629632
"64",64,68.4746405,-149.3521345,7.2527777777778
"65",65,68.4759725,-149.352222,6.39629629629632
"66",66,68.454758,-149.319503,8.68611111111113
"67",67,69.70312,-143.626875,8.47870370370373
"68",68,69.71159,-143.616045,8.3990740740741
"69",69,68.5734993,-143.7246513,9.92037037037039
"70",70,78.18557,15.74496,3.89259259259262
"71",71,70.81,147.475778,7.95370370370373
"72",72,58.63917,-63.375,7.61203703703706
"73",73,78.87558,-75.80909,3.05833333333336
"74",74,78.87421,-75.79867,2.59351851851854
"75",75,78.87107,-75.79107,2.66574074074077
"76",76,78.86192,-75.90385,0.491666666666689
"77",77,78.86221,-75.90053,0.491666666666689
"78",78,78.8719,-75.7826,2.68796296296299
"79",79,65.21748,-19.71319,8.99722222222224
"80",80,64.28083,-21.06941,11.0555555555556
"81",81,69.57488,-138.86347,4.64259259259262
"82",82,69.57646,-138.86774,4.66111111111113
"83",83,70.45373011,-157.4073879,7.72962962962965
"84",84,70.45303348,-157.4003018,7.72962962962965
"85",85,71.31502696,-156.6010247,3.42962962962965
"86",86,71.31051842,-156.5978987,3.4240740740741
"87",87,70.451449,-157.403942,7.72962962962965
"88",88,71.310312,-156.592799,3.4240740740741
